x,y,a,uv,ua
0.03104386886278532,0.14386283397782668,-1.1507625300000006,0.002,0.0
0.03104386886278532,0.14386283397782668,-1.1507638700000005,0.002,0.0
0.03287002521337647,0.14467841636171289,-1.1507638700000005,0.002,0.0
0.03287002521337647,0.14467841636171289,-1.1507627200000003,0.002,0.0
0.03287002521337647,0.14467841636171289,-1.15076393,0.002,0.0
0.034696169967157714,0.14549399343490724,-1.15076393,0.002,0.0
0.03652239424864881,0.14630960602608378,-1.15076393,0.002,0.0
0.038348434135621,0.14712513626456528,-1.15076393,0.002,0.0
0.04017451346862732,0.14794068412009548,-1.15076393,0.002,0.0
0.04200073456369827,0.14875629528818046,-1.15076393,0.002,0.0
0.04382680839607893,0.1495718406870685,-1.15076393,0.002,0.0
0.04565295579986304,0.15038741894378435,-1.15076393,0.002,0.0
0.04747904391504944,0.15120297072153632,-1.15076393,0.002,0.0
0.04930514287562513,0.15201852734296284,-1.15076393,0.002,0.0
0.05113120085530228,0.1528340656618527,-1.15076393,0.002,0.0
0.052957413473831025,0.15364967304421726,-1.15076393,0.002,0.0
0.052957413473831025,0.15364967304421726,-1.1507652100000003,0.002,0.0
0.05478357623177996,0.154465255354552,-1.1507652100000003,0.002,0.0
0.05660963453868191,0.15528079101601833,-1.1507652100000003,0.002,0.0
0.05843585473120474,0.1560963989772006,-1.1507652100000003,0.002,0.0
0.06026192725146539,0.1569119409864932,-1.1507652100000003,0.002,0.0
0.062087974073923455,0.15772747151889355,-1.1507652100000003,0.002,0.0
0.06391418810134883,0.15854307672668247,-1.1507652100000003,0.002,0.0
0.0657402425821562,0.1593586106793772,-1.1507652100000003,0.002,0.0
0.06756648766820902,0.16017422975825565,-1.1507652100000003,0.002,0.0
0.06939250603499238,0.16098974758207085,-1.1507652100000003,0.002,0.0
0.06939250603499238,0.16098974758207085,-1.1507671000000004,0.002,0.0
0.06939250603499238,0.16098974758207085,-1.1507655200000002,0.002,0.0
0.07121863567998236,0.1618053144248167,-1.1507655200000002,0.002,0.0
0.07304477113514624,0.16262088386244136,-1.1507655200000002,0.002,0.0
0.07487080488575994,0.16343640787784802,-1.1507655200000002,0.002,0.0
0.07669701806207888,0.16425201202647868,-1.1507655200000002,0.002,0.0
0.07852314454780716,0.16506757745826825,-1.1507655200000002,0.002,0.0
0.08034924948372034,0.16588313326570572,-1.1507655200000002,0.002,0.0
0.08034924948372034,0.16588313326570572,-1.1507675300000004,0.002,0.0
0.08034924948372034,0.16588313326570572,-1.1507654400000007,0.002,0.0
0.08217537000319551,0.16669869620813868,-1.1507654400000007,0.002,0.0
0.08400146598249782,0.167514248190695,-1.1507654400000007,0.002,0.0
0.08582758539754728,0.1683298106398808,-1.1507654400000007,0.002,0.0
0.08765366408971137,0.16914535490183535,-1.1507654400000007,0.002,0.0
0.08947980664922157,0.16996092768755938,-1.1507654400000007,0.002,0.0
0.08947980664922157,0.16996092768755938,-1.1507641100000008,0.002,0.0
0.09130598550867985,0.1707765195984604,-1.1507641100000008,0.002,0.0
0.09130598550867985,0.1707765195984604,-1.150763050000001,0.002,0.0
0.0931321282808172,0.17159209771417255,-1.150763050000001,0.002,0.0
0.09495822549835407,0.17240765548463252,-1.150763050000001,0.002,0.0
0.09678436851552635,0.17322323370978032,-1.150763050000001,0.002,0.0
0.09861051469922462,0.1740388133491381,-1.150763050000001,0.002,0.0
0.1004366579132908,0.17485439166222116,-1.150763050000001,0.002,0.0
0.10226277166561815,0.17566995681732459,-1.150763050000001,0.002,0.0
0.10226277166561815,0.17566995681732459,-1.1507651400000007,0.002,0.0
